df_hash,22ZHK4.W8ZZR3
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2MA8
person_label,V92
date_time_start,2025-11-04_16-32-02.909000_+03
date_time_start_unix,1762259522.909
date_time_end,2025-11-04_16-40-18.078000_+03
length_difference_noticed,no

time,ppg_med
38.558,168
38.583,131
38.608,89
38.633,41
38.658,-3
38.683,-43
38.708,-84
38.733,-140
38.758,-211
38.783,-269
38.808,-274
38.833,-206
38.858,-83
38.883,48
38.908,154
38.933,229
38.958,288
38.983,348
39.008,406
39.033,450
39.058,471
39.083,475
39.108,475
39.133,483
39.158,496
39.183,507
39.208,509
39.233,500
39.258,482
39.283,458
39.308,428
39.333,391
39.358,347
39.383,302
39.408,258
39.433,216
39.458,171
39.483,120
39.508,67
39.533,21
39.558,-21
39.583,-71
39.608,-138
39.633,-210
39.658,-250
39.683,-223
39.708,-125
39.733,5
39.758,122
39.783,204
39.808,264
39.833,323
39.858,388
39.883,442
39.908,466
39.933,462
39.958,451
39.983,450
40.008,458
40.033,465
40.058,462
40.083,447
40.108,423
40.133,389
40.158,348
40.183,307
40.208,269
40.233,232
40.258,185
40.283,127
40.308,66
40.333,15
40.358,-28
40.383,-81
40.408,-156
40.433,-233
40.458,-269
40.483,-227
40.508,-112
40.533,31
40.558,155
40.583,247
40.608,324
40.633,410
40.658,500
40.683,570
40.708,601
40.733,601
40.758,594
40.783,598
40.808,613
40.833,623
40.858,614
40.883,584
40.908,537
40.933,479
40.958,409
40.983,333
41.008,255
41.033,183
41.058,119
41.083,59
41.108,-3
41.133,-68
41.158,-128
41.183,-176
41.208,-216
41.233,-264
41.258,-325
41.283,-378
41.308,-384
41.333,-316
41.358,-192
41.383,-62
41.408,28
41.433,78
41.458,122
41.483,189
41.508,264
41.533,309
41.558,305
41.583,277
41.608,265
41.633,281
41.658,301
41.683,297
41.708,270
41.733,240
41.758,216
41.783,185
41.808,132
41.833,67
41.858,14
41.883,-16
41.908,-40
41.933,-72
41.958,-105
41.983,-119
42.008,-110
42.033,-98
42.058,-101
42.083,-110
42.108,-100
42.133,-52
42.158,32
42.183,161
42.208,345
42.233,574
42.258,793
42.283,937
42.308,998
42.333,1043
42.358,1139
42.383,1280
42.408,1394
42.433,1444
42.458,1484
42.483,1602
42.508,1813
42.533,2042
42.558,2218
42.583,2357
42.608,2509
42.633,2660
42.658,2739
42.683,2736
42.708,2774
42.733,2960
42.758,3157
42.783,2980
42.808,2120
42.833,695
42.858,-759
42.883,-1712
42.908,-2063
42.933,-2149
42.958,-2347
42.983,-2725
43.008,-3084
43.033,-3262
43.058,-3318
43.083,-3403
43.108,-3541
43.133,-3607
43.158,-3521
43.183,-3369
43.208,-3294
43.233,-3312
43.258,-3294
43.283,-3146
43.308,-2929
43.333,-2747
43.358,-2549
43.383,-2102
43.408,-1215
43.433,29
43.458,1323
43.483,2373
43.508,3105
43.533,3611
43.558,3966
43.583,4139
43.608,4077
43.633,3812
43.658,3454
43.683,3086
43.708,2711
43.733,2295
43.758,1834
43.783,1362
43.808,907
43.833,479
43.858,105
43.883,-159
43.908,-276
43.933,-280
43.958,-254
43.983,-250
44.008,-241
44.033,-165
44.058,-9
44.083,179
44.108,343
44.133,474
44.158,600
44.183,735
44.208,857
44.233,939
44.258,983
44.283,1000
44.308,976
44.333,882
44.358,719
44.383,542
44.408,419
44.433,361
44.458,316
44.483,224
44.508,86
44.533,-47
44.558,-130
44.583,-172
44.608,-218
44.633,-292
44.658,-375
44.683,-421
44.708,-401
44.733,-323
44.758,-217
44.783,-113
44.808,-27
44.833,33
44.858,71
44.883,89
44.908,90
44.933,69
44.958,26
44.983,-28
45.008,-76
45.033,-101
45.058,-103
45.083,-95
45.108,-90
45.133,-96
45.158,-112
45.183,-138
45.208,-175
45.233,-217
45.258,-248
45.283,-254
45.308,-229
45.333,-188
45.358,-149
45.383,-126
45.408,-111
45.433,-90
45.458,-55
45.483,-17
45.508,8
45.533,23
45.558,59
45.583,161
45.608,344
45.633,573
45.658,790
45.683,956
45.708,1075
45.733,1174
45.758,1255
45.783,1288
45.808,1237
45.833,1109
45.858,956
45.883,835
45.908,776
45.933,768
45.958,779
45.983,779
46.008,749
46.033,686
46.058,607
46.083,533
46.108,472
46.133,398
46.158,270
46.183,78
46.208,-127
46.233,-274
46.258,-319
46.283,-287
46.308,-234
46.333,-185
46.358,-116
46.383,13
46.408,208
46.433,431
46.458,640
46.483,815
46.508,952
46.533,1036
46.558,1041
46.583,959
46.608,812
46.633,646
46.658,488
46.683,345
46.708,216
46.733,114
46.758,58
46.783,44
46.808,37
46.833,7
46.858,-45
46.883,-92
46.908,-115
46.933,-134
46.958,-182
46.983,-273
47.008,-387
47.033,-502
47.058,-621
47.083,-769
47.108,-952
47.133,-1126
47.158,-1225
47.183,-1211
47.208,-1104
47.233,-967
47.258,-848
47.283,-756
47.308,-663
47.333,-541
47.358,-379
47.383,-185
47.408,24
47.433,236
47.458,443
47.483,644
47.508,839
47.533,1024
47.558,1185
47.583,1303
47.608,1371
47.633,1401
47.658,1414
47.683,1420
47.708,1405
47.733,1352
47.758,1261
47.783,1154
47.808,1041
47.833,907
47.858,723
47.883,483
47.908,233
47.933,41
47.958,-50
47.983,-51
48.008,-5
48.033,55
48.058,130
48.083,233
48.108,366
48.133,505
48.158,618
48.183,679
48.208,685
48.233,645
48.258,581
48.283,515
48.308,462
48.333,419
48.358,371
48.383,309
48.408,239
48.433,172
48.458,107
48.483,30
48.508,-65
48.533,-171
48.558,-273
48.583,-375
48.608,-500
48.633,-650
48.658,-777
48.683,-803
48.708,-685
48.733,-459
48.758,-222
48.783,-50
48.808,50
48.833,130
48.858,226
48.883,322
48.908,375
48.933,367
48.958,328
48.983,303
49.008,312
49.033,334
49.058,345
49.083,341
49.108,333
49.133,329
49.158,317
49.183,281
49.208,221
49.233,154
49.258,96
49.283,45
49.308,-15
49.333,-99
49.358,-196
49.383,-274
49.408,-294
49.433,-228
49.458,-77
49.483,128
49.508,354
49.533,569
49.558,761
49.583,923
49.608,1039
49.633,1090
49.658,1069
49.683,1001
49.708,927
49.733,884
49.758,870
49.783,857
49.808,821
49.833,758
49.858,684
49.883,607
49.908,518
49.933,405
49.958,278
49.983,164
50.008,77
50.033,3
50.058,-85
50.083,-194
50.108,-283
50.133,-298
50.158,-218
50.183,-74
50.208,74
50.233,188
50.258,270
50.283,344
50.308,421
50.333,487
50.358,517
50.383,508
50.408,477
50.433,443
50.458,414
50.483,383
50.508,342
50.533,294
50.558,246
50.583,200
50.608,151
50.633,92
50.658,25
50.683,-40
50.708,-101
50.733,-162
50.758,-241
50.783,-344
50.808,-449
50.833,-513
50.858,-493
50.883,-382
50.908,-219
50.933,-65
50.958,38
50.983,99
51.008,150
51.033,210
51.058,265
51.083,285
51.108,257
51.133,205
51.158,167
51.183,159
51.208,167
51.233,165
51.258,143
51.283,109
51.308,73
51.333,33
51.358,-16
51.383,-73
51.408,-125
51.433,-166
51.458,-203
51.483,-243
51.508,-271
51.533,-252
51.558,-159
51.583,-4
51.608,165
51.633,306
51.658,411
51.683,502
51.708,598
51.733,689
51.758,754
51.783,787
51.808,811
51.833,853
51.858,917
51.883,981
51.908,1028
51.933,1062
51.958,1100
51.983,1143
52.008,1175
52.033,1180
52.058,1171
52.083,1171
52.108,1183
52.133,1182
52.158,1142
52.183,1079
52.208,1041
52.233,1057
52.258,1091
52.283,1058
52.308,894
52.333,612
52.358,286
52.383,-3
52.408,-225
52.433,-390
52.458,-514
52.483,-604
52.508,-678
52.533,-774
52.558,-931
52.583,-1152
52.608,-1389
52.633,-1575
52.658,-1668
52.683,-1673
52.708,-1612
52.733,-1504
52.758,-1357
52.783,-1182
52.808,-997
52.833,-812
52.858,-619
52.883,-403
52.908,-169
52.933,56
52.958,242
52.983,381
53.008,488
53.033,581
53.058,662
53.083,719
53.108,748
53.133,761
53.158,772
53.183,785
53.208,794
53.233,798
53.258,802
53.283,815
53.308,839
53.333,873
53.358,916
53.383,966
53.408,1014
53.433,1039
53.458,1020
53.483,961
53.508,887
53.533,827
53.558,780
53.583,721
53.608,631
53.633,515
53.658,404
53.683,319
53.708,258
53.733,197
53.758,126
53.783,57
53.808,11
53.833,-2
53.858,0
53.883,0
53.908,-12
53.933,-33
53.958,-54
53.983,-70
54.008,-78
54.033,-77
54.058,-72
54.083,-73
54.108,-87
54.133,-107
54.158,-106
54.183,-58
54.208,38
54.233,159
54.258,270
54.283,357
54.308,423
54.333,473
54.358,499
54.383,488
54.408,445
54.433,398
54.458,372
54.483,368
54.508,366
54.533,345
54.558,307
54.583,267
54.608,231
54.633,194
54.658,146
54.683,92
54.708,45
54.733,2
54.758,-56
54.783,-143
54.808,-238
54.833,-291
54.858,-263
54.883,-159
54.908,-22
54.933,101
54.958,192
54.983,255
55.008,298
55.033,316
55.058,306
55.083,280
55.108,263
55.133,267
55.158,283
55.183,292
55.208,284
55.233,262
55.258,234
55.283,203
55.308,172
55.333,146
55.358,129
55.383,109
55.408,62
55.433,-12
55.458,-84
55.483,-95
55.508,-8
55.533,158
55.558,345
55.583,500
55.608,605
55.633,673
55.658,716
55.683,729
55.708,709
55.733,667
55.758,624
55.783,591
55.808,559
55.833,512
55.858,449
55.883,383
