Time_sec,Resistance_Ohm,Stage,HeartRate_BPM,Resistance_Ohm_Normalized,HeartRate_BPM_Normalized
190,10546.91,Normal,100.0,0.21997219090997522,0.2413793103448274
191,11053.98,Normal,100.0,0.5101194188701266,0.2413793103448274
192,10660.95,Normal,100.0,0.28522627787346355,0.2413793103448274
193,10526.32,Normal,100.0,0.20819052087684486,0.2413793103448274
194,10444.33,Normal,100.0,0.16127555603875,0.2413793103448274
195,10946.29,Normal,100.0,0.4484988241218115,0.2413793103448274
196,10640.12,Normal,100.0,0.2733072790007043,0.2413793103448274
197,10829.09,Normal,93.0,0.38143657410321463,0.0
198,10935.58,Normal,97.0,0.4423705246533878,0.13793103448275845
199,10967.74,Normal,95.0,0.46077258916360986,0.06896551724137945
200,10924.89,Normal,96.0,0.4362536692549339,0.10344827586206895
201,10546.91,Normal,95.0,0.21997219090997522,0.06896551724137945
202,10434.13,Normal,95.0,0.15543908035453757,0.06896551724137945
203,10786.8,Normal,96.0,0.35723808815367075,0.10344827586206895
204,10475.0,Normal,95.0,0.17882503733627875,0.06896551724137945
205,10713.2,Normal,95.0,0.31512391066759093,0.06896551724137945
206,11184.69,Normal,101.0,0.5849121381528128,0.27586206896551735
207,11328.12,Normal,97.0,0.6669832859358111,0.13793103448275845
208,11010.78,Normal,98.0,0.4854002277369931,0.1724137931034484
209,10807.93,Normal,97.0,0.36932874807596594,0.13793103448275845
210,11361.5,Normal,97.0,0.6860834387141441,0.13793103448275845
211,11184.69,Normal,97.0,0.5849121381528128,0.13793103448275845
212,11075.66,Normal,97.0,0.5225247907165702,0.13793103448275845
213,11064.82,Normal,101.0,0.5163221047933488,0.27586206896551735
214,11162.79,Normal,102.0,0.5723808815367102,0.31034482758620685
215,11000.0,Normal,,0.47923187402367784,
216,11339.24,Normal,105.0,0.6733461888385985,0.4137931034482758
217,11339.24,Normal,105.0,0.6733461888385985,0.4137931034482758
218,10839.69,Normal,,0.387501931186808,
219,10640.12,Normal,107.0,0.2733072790007043,0.48275862068965525
220,10967.74,Normal,108.0,0.46077258916360986,0.5172413793103448
221,11108.25,Normal,,0.5411729027311276,
222,10818.5,Normal,110.0,0.3753769390546058,0.5862068965517242
223,11361.5,Normal,110.0,0.6860834387141441,0.5862068965517242
224,11010.78,Normal,,0.4854002277369931,
225,11305.93,Normal,109.0,0.6542860903051562,0.5517241379310343
226,11032.36,Normal,109.0,0.49774837923359083,0.5517241379310343
227,11328.12,Normal,,0.6669832859358111,
228,10914.2,Normal,108.0,0.43013681385648095,0.5172413793103448
229,11406.17,Normal,107.0,0.7116437689900037,0.48275862068965525
230,11294.85,Normal,,0.6479460755423059,
231,11151.86,Normal,107.0,0.5661266972986274,0.48275862068965525
232,11328.12,Normal,106.0,0.6669832859358111,0.4482758620689653
233,11328.12,Normal,,0.6669832859358111,
234,11372.65,Normal,107.0,0.6924635077218859,0.48275862068965525
235,11350.36,Normal,107.0,0.6797090917413877,0.48275862068965525
236,11350.36,Normal,,0.6797090917413877,
237,10978.48,Normal,107.0,0.4669180547369871,0.48275862068965525
238,11339.24,Normal,107.0,0.6733461888385985,0.48275862068965525
239,11383.81,Normal,,0.6988492987646122,
240,11383.81,Normal,107.0,0.6988492987646122,0.48275862068965525
241,11043.17,Normal,107.0,0.5039338990518587,0.48275862068965525
242,11162.79,Normal,107.0,0.5723808815367102,0.48275862068965525
243,11406.17,Normal,107.0,0.7116437689900037,0.48275862068965525
244,10807.93,Normal,105.0,0.36932874807596594,0.4137931034482758
245,11010.78,Normal,,0.4854002277369931,
246,11217.62,Normal,106.0,0.6037547993568442,0.4482758620689653
247,10978.48,Normal,105.0,0.4669180547369871,0.4137931034482758
248,11000.0,Normal,105.0,0.47923187402367784,0.4137931034482758
249,10464.77,Normal,105.0,0.17297139554711283,0.4137931034482758
250,10744.68,Normal,101.0,0.33313687679886517,0.27586206896551735
251,10903.52,Normal,103.0,0.4240256804930107,0.34482758620689635
252,10839.69,Normal,102.0,0.387501931186808,0.31034482758620685
253,10829.09,Normal,102.0,0.38143657410321463,0.31034482758620685
254,10935.58,Normal,102.0,0.4423705246533878,0.31034482758620685
255,10967.74,Normal,102.0,0.46077258916360986,0.31034482758620685
256,11184.69,Normal,102.0,0.5849121381528128,0.31034482758620685
257,10619.33,Normal,102.0,0.261411168267883,0.31034482758620685
258,11328.12,Normal,102.0,0.6669832859358111,0.31034482758620685
259,10860.93,Normal,102.0,0.3996555334939327,0.31034482758620685
260,11294.85,Stress,102.0,0.6479460755423059,0.31034482758620685
261,10871.56,Stress,102.0,0.40573805668247864,0.31034482758620685
262,11250.65,Stress,102.0,0.6226546809107187,0.31034482758620685
263,11140.94,Stress,102.0,0.55987823509553,0.31034482758620685
264,11496.06,Stress,102.0,0.7630791414658704,0.31034482758620685
265,11541.29,Stress,102.0,0.7889599057008638,0.31034482758620685
266,11529.97,Stress,102.0,0.7824825620983846,0.31034482758620685
267,11462.26,Stress,100.0,0.7437386632181875,0.2413793103448274
268,11394.98,Stress,96.0,0.7052408118423239,0.10344827586206895
269,10946.29,Stress,102.0,0.4484988241218115,0.31034482758620685
270,11151.86,Stress,102.0,0.5661266972986274,0.31034482758620685
271,10924.89,Stress,104.0,0.4362536692549339,0.3793103448275863
272,10924.89,Stress,106.0,0.4362536692549339,0.4482758620689653
273,11130.03,Stress,108.0,0.5536354949274163,0.5172413793103448
274,11339.24,Stress,110.0,0.6733461888385985,0.5862068965517242
275,11217.62,Stress,111.0,0.6037547993568442,0.6206896551724137
276,11086.51,Stress,109.0,0.528733198674777,0.5517241379310343
277,11317.02,Stress,109.0,0.660631827102991,0.5517241379310343
278,11228.62,Stress,109.0,0.6100490378398176,0.5517241379310343
279,11507.35,Stress,111.0,0.7695393189633961,0.6206896551724137
280,11361.5,Stress,109.0,0.6860834387141441,0.5517241379310343
281,11075.66,Stress,109.0,0.5225247907165702,0.5517241379310343
282,11010.78,Stress,111.0,0.4854002277369931,0.6206896551724137
283,11162.79,Stress,111.0,0.5723808815367102,0.6206896551724137
284,11496.06,Stress,112.0,0.7630791414658704,0.6551724137931032
285,11173.73,Stress,111.0,0.5786407878097766,0.6206896551724137
286,11507.35,Stress,110.0,0.7695393189633961,0.5862068965517242
287,10978.48,Stress,110.0,0.4669180547369871,0.5862068965517242
288,11496.06,Stress,110.0,0.7630791414658704,0.5862068965517242
289,11507.35,Stress,110.0,0.7695393189633961,0.5862068965517242
290,10989.24,Stress,111.0,0.4730749643803325,0.6206896551724137
291,11507.35,Stress,110.0,0.7695393189633961,0.5862068965517242
292,11439.79,Stress,110.0,0.7308812506079665,0.5862068965517242
293,11518.66,Stress,110.0,0.7760109405308908,0.5862068965517242
294,11184.69,Stress,110.0,0.5849121381528128,0.5862068965517242
295,11228.62,Stress,111.0,0.6100490378398176,0.6206896551724137
296,11383.81,Stress,110.0,0.6988492987646122,0.5862068965517242
297,11162.79,Stress,111.0,0.5723808815367102,0.6206896551724137
298,11529.97,Stress,112.0,0.7824825620983846,0.6551724137931032
299,11462.26,Stress,113.0,0.7437386632181875,0.6896551724137931
300,10989.24,Stress,113.0,0.4730749643803325,0.6896551724137931
301,11451.02,Stress,114.0,0.7373070958955843,0.7241379310344827
302,11518.66,Stress,114.0,0.7760109405308908,0.7241379310344827
303,11518.66,Stress,114.0,0.7760109405308908,0.7241379310344827
304,11552.63,Stress,113.0,0.7954486933733111,0.6896551724137931
305,11283.78,Stress,113.0,0.641611782814441,0.6896551724137931
306,11563.98,Stress,112.0,0.8019432030807438,0.6551724137931032
307,11575.34,Stress,112.0,0.8084434348231611,0.6551724137931032
308,11518.66,Stress,112.0,0.7760109405308908,0.6551724137931032
309,11394.98,Stress,112.0,0.7052408118423239,0.6551724137931032
310,11261.68,Stress,112.0,0.6289660854986474,0.6551724137931032
311,11032.36,Stress,112.0,0.49774837923359083,0.6551724137931032
312,11195.65,Stress,114.0,0.5911834884958482,0.7241379310344827
313,11609.5,Stress,114.0,0.8279899063302878,0.7241379310344827
314,10797.36,Stress,113.0,0.363280557097327,0.6896551724137931
315,10536.61,Stress,114.0,0.21407849487591868,0.7241379310344827
316,10516.03,Stress,114.0,0.20230254687777283,0.7241379310344827
317,,Stress,114.0,,0.7241379310344827
318,,Stress,115.0,,0.7586206896551726
319,,Stress,116.0,,0.7931034482758621
320,,Stress,116.0,,0.7931034482758621
321,,Stress,118.0,,0.8620689655172411
322,10650.53,Stress,117.0,0.2792639174195921,0.8275862068965516
323,11000.0,Stress,119.0,0.47923187402367784,0.8965517241379306
324,10935.58,Stress,119.0,0.4423705246533878,0.8965517241379306
325,11010.78,Stress,118.0,0.4854002277369931,0.8620689655172411
326,10660.95,Stress,120.0,0.28522627787346355,0.931034482758621
327,10989.24,Stress,120.0,0.4730749643803325,0.931034482758621
328,10608.96,Stress,119.0,0.2554774179889332,0.8965517241379306
329,10903.52,Stress,119.0,0.4240256804930107,0.8965517241379306
330,11021.56,Stress,119.0,0.4915685814503066,0.8965517241379306
331,10588.24,Stress,119.0,0.24362136150100433,0.8965517241379306
332,10505.76,Stress,119.0,0.19642601694866801,0.8965517241379306
333,11000.0,Stress,119.0,0.47923187402367784,0.8965517241379306
334,10577.89,Stress,119.0,0.2376990552920244,0.8965517241379306
335,10765.72,Stress,121.0,0.34517603840629896,0.9655172413793105
336,10629.72,Stress,117.0,0.26735636261680096,0.8275862068965516
337,10755.2,Stress,117.0,0.3391564576025825,0.8275862068965516
338,11075.66,Stress,116.0,0.5225247907165702,0.7931034482758621
339,11428.57,Stress,117.0,0.7244611273553323,0.8275862068965516
340,11496.06,Stress,117.0,0.7630791414658704,0.8275862068965516
341,11507.35,Stress,117.0,0.7695393189633961,0.8275862068965516
342,11339.24,Stress,117.0,0.6733461888385985,0.8275862068965516
343,10713.2,Stress,117.0,0.31512391066759093,0.8275862068965516
344,10423.94,Stress,117.0,0.14960832670531055,0.8275862068965516
345,10818.5,Stress,117.0,0.3753769390546058,0.8275862068965516
346,10744.68,Stress,118.0,0.33313687679886517,0.8620689655172411
347,10567.55,Stress,117.0,0.23178247111802808,0.8275862068965516
348,10444.33,Stress,118.0,0.16127555603875,0.8620689655172411
349,10640.12,Stress,117.0,0.2733072790007043,0.8275862068965516
350,10464.77,Stress,118.0,0.17297139554711283,0.8620689655172411
351,10567.55,Stress,119.0,0.23178247111802808,0.8965517241379306
352,10786.8,Stress,,0.35723808815367075,
353,10946.29,Stress,118.0,0.4484988241218115,0.8620689655172411
354,10946.29,Stress,120.0,0.4484988241218115,0.931034482758621
355,10475.0,Stress,,0.17882503733627875,
356,10423.94,Stress,119.0,0.14960832670531055,0.8965517241379306
357,10734.18,Stress,119.0,0.32712874006511683,0.8965517241379306
358,10807.93,Stress,,0.36932874807596594,
359,10807.93,Stress,117.0,0.36932874807596594,0.8275862068965516
360,10598.59,Stress,116.0,0.24954366770998515,0.7931034482758621
361,10629.72,Stress,,0.26735636261680096,
362,10608.96,Stress,116.0,0.2554774179889332,0.7931034482758621
363,10302.43,Stress,116.0,0.08007987960838481,0.7931034482758621
364,10640.12,Stress,,0.2733072790007043,
365,10495.5,Stress,118.0,0.1905552090545486,0.8620689655172411
366,10588.24,Stress,118.0,0.24362136150100433,0.8620689655172411
367,10640.12,Stress,,0.2733072790007043,
368,10734.18,Stress,117.0,0.32712874006511683,0.8275862068965516
369,10363.0,Stress,118.0,0.11473824550963307,0.8620689655172411
370,10619.33,Stress,,0.261411168267883,
371,10619.33,Stress,120.0,0.261411168267883,0.931034482758621
372,10989.24,Stress,118.0,0.4730749643803325,0.8620689655172411
373,10829.09,Stress,,0.38143657410321463,
374,11086.51,Stress,118.0,0.528733198674777,0.8620689655172411
375,10755.2,Stress,118.0,0.3391564576025825,0.8620689655172411
376,10342.77,Stress,,0.10316256873594565,
377,10692.27,Stress,118.0,0.30314769144498577,0.8620689655172411
378,10475.0,Stress,118.0,0.17882503733627875,0.8620689655172411
379,10464.77,Stress,118.0,0.17297139554711283,0.8620689655172411
380,10588.24,Stress,118.0,0.24362136150100433,0.8620689655172411
381,10423.94,Stress,118.0,0.14960832670531055,0.8620689655172411
382,11010.78,Stress,118.0,0.4854002277369931,0.8620689655172411
383,11021.56,Stress,118.0,0.4915685814503066,0.8620689655172411
384,11032.36,Stress,118.0,0.49774837923359083,0.8620689655172411
385,11507.35,Stress,118.0,0.7695393189633961,0.8620689655172411
386,11451.02,Stress,,0.7373070958955843,
387,11575.34,Stress,118.0,0.8084434348231611,0.8620689655172411
388,11575.34,Stress,120.0,0.8084434348231611,0.931034482758621
389,11140.94,Stress,120.0,0.55987823509553,0.931034482758621
390,11632.33,Stress,120.0,0.8410533121999508,0.931034482758621
391,11108.25,Stress,120.0,0.5411729027311276,0.931034482758621
392,11586.72,Stress,120.0,0.8149551106355464,0.931034482758621
