df_hash,22ZHK4.KE15WD
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.1X32
person_label,V155
date_time_start,2026-06-08_19-32-32.863000_+03
date_time_start_unix,1780929152.863
date_time_end,2026-06-08_19-45-47.480000_+03
length_difference_noticed,no

time,acc_mag
41.412,1.000
41.442,1.024
41.472,1.033
41.502,0.999
41.532,1.018
41.562,1.018
41.592,1.005
41.622,1.008
41.652,1.021
41.682,1.021
41.712,1.006
41.742,1.003
41.772,1.010
41.802,1.018
41.832,1.009
41.862,1.009
41.892,1.021
41.922,1.022
41.952,1.014
41.982,1.015
42.012,0.991
42.042,1.010
42.072,1.022
42.102,0.997
42.132,1.010
42.162,1.021
42.192,0.999
42.222,1.012
42.252,1.018
42.282,0.992
42.312,0.999
42.342,1.020
42.372,1.019
42.402,1.011
42.432,1.014
42.462,1.015
42.492,1.003
42.522,1.005
42.552,1.017
42.582,1.010
42.612,0.998
42.642,1.006
42.672,0.999
42.702,1.004
42.732,0.996
42.762,0.997
42.792,1.023
42.822,1.008
42.852,0.980
42.882,1.009
42.912,1.020
42.942,1.019
42.972,1.003
43.002,1.003
43.032,1.010
43.062,1.016
43.092,1.022
43.122,1.028
43.152,1.016
43.182,1.021
43.212,1.016
43.242,0.999
43.272,0.996
43.302,0.987
43.332,0.996
43.362,1.012
43.392,1.000
43.422,1.023
43.452,1.021
43.482,1.000
43.512,1.009
43.542,0.998
43.572,0.994
43.602,0.996
43.632,1.019
43.662,1.005
43.692,1.014
43.722,1.011
43.752,1.024
43.782,1.035
43.812,1.014
43.842,1.024
43.872,1.024
43.902,1.021
43.932,1.019
43.962,1.028
43.992,1.019
44.022,1.035
44.052,1.035
44.082,1.021
44.112,1.021
44.142,1.000
44.172,1.014
44.202,1.026
44.232,1.028
44.262,1.033
44.292,1.026
44.322,1.023
44.352,1.008
44.382,1.014
44.412,1.027
44.442,1.030
44.472,1.031
44.502,1.030
44.532,1.016
44.562,1.018
44.592,1.019
44.622,1.015
44.652,1.008
44.682,1.016
44.712,1.017
44.742,1.026
44.772,1.033
44.802,1.029
44.832,1.028
44.862,1.016
44.892,1.026
44.922,1.026
44.952,1.022
44.982,1.022
45.012,1.030
45.042,1.027
45.072,1.022
45.102,1.021
45.132,1.024
45.162,1.031
45.192,1.020
45.222,1.026
45.252,1.025
45.282,1.023
45.312,1.017
45.342,1.026
45.372,1.028
45.402,1.023
45.432,1.022
45.462,1.017
45.492,1.021
45.522,1.025
45.552,1.019
45.582,1.024
45.612,1.028
45.642,1.024
45.672,1.022
45.702,1.025
45.732,1.018
45.762,1.020
45.792,1.026
45.822,1.024
45.852,1.021
45.882,1.024
45.912,1.026
45.942,1.020
45.972,1.020
46.002,1.019
46.032,1.012
46.062,1.020
46.092,1.021
46.122,1.024
46.152,1.028
46.182,1.027
46.212,1.028
46.242,1.026
46.272,1.021
46.302,1.019
46.332,1.020
46.362,1.027
46.392,1.026
46.422,1.022
46.452,1.021
46.482,1.025
46.512,1.026
46.542,1.025
46.572,1.025
46.602,1.026
46.632,1.019
46.662,1.021
46.692,1.025
46.722,1.024
46.752,1.026
46.782,1.026
46.812,1.025
46.842,1.023
46.872,1.028
46.902,1.027
46.932,1.027
46.962,1.024
46.992,1.026
47.022,1.022
47.052,1.028
47.082,1.022
47.112,1.023
47.142,1.019
47.172,1.023
47.202,1.028
47.232,1.026
47.262,1.026
47.292,1.024
47.322,1.026
47.352,1.028
47.382,1.022
47.412,1.022
47.442,1.023
47.472,1.024
47.502,1.025
47.532,1.023
47.562,1.024
47.592,1.025
47.622,1.029
47.652,1.026
47.682,1.025
47.712,1.037
47.742,1.021
47.772,1.019
47.802,1.020
47.832,1.022
47.862,1.022
47.892,1.018
47.922,1.020
47.952,1.029
47.982,1.026
48.012,1.025
48.042,1.029
48.072,1.028
48.102,1.025
48.132,1.021
48.162,1.021
48.192,1.017
48.222,1.029
48.252,1.029
48.282,1.021
48.312,1.025
48.342,1.021
48.372,1.022
48.402,1.024
48.432,1.021
48.462,1.005
48.492,1.016
48.522,1.021
48.552,1.021
48.582,1.024
48.612,1.030
48.642,1.036
48.672,1.046
48.702,1.032
48.732,1.027
48.762,1.030
48.792,1.029
48.822,1.025
48.852,1.026
48.882,1.025
48.912,1.021
48.942,1.021
48.972,1.023
49.002,1.018
49.032,1.011
49.062,1.022
49.092,1.026
49.122,1.021
49.152,1.015
49.182,1.030
49.212,1.021
49.242,1.022
49.272,1.022
49.302,1.020
49.332,1.012
49.362,1.007
49.392,1.012
49.422,1.021
49.452,1.028
49.482,1.033
49.512,1.035
49.542,1.034
49.572,1.029
49.602,1.019
49.632,1.015
49.662,1.022
49.692,1.027
49.722,1.026
49.752,1.024
49.782,1.022
49.812,1.021
49.842,1.021
49.872,1.022
49.902,1.023
49.932,1.021
49.962,1.023
49.992,1.021
50.022,1.020
50.052,1.018
50.082,1.021
50.112,1.023
50.142,1.024
50.172,1.021
50.202,1.021
50.232,1.022
50.262,1.022
50.292,1.024
50.322,1.021
50.352,1.023
50.382,1.021
50.412,1.022
50.442,1.022
50.472,1.021
50.502,1.018
50.532,1.023
50.562,1.030
50.592,1.022
50.622,1.023
50.652,1.022
50.682,1.021
50.712,1.024
50.742,1.018
50.772,1.017
50.802,1.021
50.832,1.028
50.862,1.022
50.892,1.021
50.922,1.024
50.952,1.025
50.982,1.021
51.012,1.021
51.042,1.020
51.072,1.025
51.102,1.023
51.132,1.021
51.162,1.025
51.192,1.023
51.222,1.022
51.252,1.025
51.282,1.024
51.312,1.020
51.342,1.024
51.372,1.024
51.402,1.021
51.432,1.021
51.462,1.024
51.492,1.025
51.522,1.021
51.552,1.024
51.582,1.020
51.612,1.022
51.642,1.023
51.672,1.027
51.702,1.022
51.732,1.021
51.762,1.022
51.792,1.021
51.822,1.024
51.852,1.024
51.882,1.025
51.912,1.022
51.942,1.022
51.972,1.025
52.002,1.024
52.032,1.024
52.062,1.026
52.092,1.023
52.122,1.019
52.152,1.022
52.182,1.024
52.212,1.021
52.242,1.025
52.272,1.021
52.302,1.021
52.332,1.020
52.362,1.022
52.392,1.026
52.422,1.019
52.452,1.026
52.482,1.026
52.512,1.023
52.542,1.020
52.572,1.024
52.602,1.023
52.632,1.023
52.662,1.023
52.692,1.023
52.722,1.022
52.752,1.024
52.782,1.024
