df_hash,22ZHK4.724P3P
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.YWVP
person_label,V66
date_time_start,2025-10-31_17-05-59.075000_+03
date_time_start_unix,1761915959.075
date_time_end,2025-10-31_17-14-45.320000_+03
length_difference_noticed,no

time,acc_mag
34.157,1.027
34.187,1.026
34.217,1.027
34.247,1.026
34.277,1.028
34.307,1.030
34.337,1.029
34.367,1.026
34.397,1.021
34.427,1.028
34.457,1.026
34.487,1.026
34.517,1.030
34.547,1.029
34.577,1.026
34.607,1.027
34.637,1.027
34.667,1.026
34.697,1.026
34.727,1.027
34.757,1.032
34.787,1.029
34.817,1.021
34.847,1.023
34.877,1.025
34.907,1.026
34.937,1.026
34.967,1.024
34.997,1.030
35.027,1.031
35.057,1.032
35.087,1.026
35.117,1.026
35.147,1.021
35.177,1.021
35.207,1.028
35.237,1.028
35.267,1.025
35.297,1.027
35.327,1.024
35.357,1.028
35.387,1.028
35.417,1.029
35.447,1.029
35.477,1.026
35.507,1.026
35.537,1.026
35.567,1.026
35.597,1.025
35.627,1.026
35.657,1.029
35.687,1.028
35.717,1.024
35.747,1.024
35.777,1.028
35.807,1.030
35.837,1.025
35.867,1.025
35.897,1.026
35.927,1.024
35.957,1.029
35.987,1.030
36.017,1.026
36.047,1.029
36.077,1.026
36.107,1.027
36.137,1.026
36.167,1.021
36.197,1.023
36.227,1.026
36.257,1.028
36.287,1.030
36.317,1.026
36.347,1.023
36.377,1.021
36.407,1.027
36.437,1.030
36.467,1.030
36.497,1.027
36.527,1.027
36.557,1.028
36.587,1.032
36.617,1.028
36.647,1.026
36.677,1.027
36.707,1.021
36.737,1.027
36.767,1.032
36.797,1.026
36.827,1.030
36.857,1.025
36.887,1.029
36.917,1.025
36.947,1.028
36.977,1.024
37.007,1.025
37.037,1.030
37.067,1.027
37.097,1.026
37.127,1.022
37.157,1.018
37.187,1.020
37.217,1.026
37.247,1.032
37.277,1.035
37.307,1.028
37.337,1.032
37.367,1.033
37.397,1.028
37.427,1.021
37.457,1.022
37.487,1.022
37.517,1.028
37.547,1.032
37.577,1.027
37.607,1.033
37.637,1.029
37.667,1.026
37.697,1.025
37.727,1.022
37.757,1.021
37.787,1.025
37.817,1.028
37.847,1.027
37.877,1.026
37.907,1.022
37.937,1.025
37.967,1.027
37.997,1.029
38.027,1.028
38.057,1.027
38.087,1.031
38.117,1.027
38.147,1.031
38.177,1.023
38.207,1.028
38.237,1.023
38.267,1.032
38.297,1.032
38.327,1.025
38.357,1.022
38.387,1.025
38.417,1.027
38.447,1.030
38.477,1.027
38.507,1.026
38.537,1.023
38.567,1.023
38.597,1.025
38.627,1.029
38.657,1.026
38.687,1.029
38.717,1.029
38.747,1.027
38.777,1.023
38.807,1.028
38.837,1.029
38.867,1.031
38.897,1.029
38.927,1.026
38.957,1.026
38.987,1.024
39.017,1.030
39.047,1.028
39.077,1.030
39.107,1.024
39.137,1.025
39.167,1.024
39.197,1.026
39.227,1.027
39.257,1.023
39.287,1.026
39.317,1.029
39.347,1.029
39.377,1.036
39.407,1.024
39.437,1.027
39.467,1.027
39.497,1.026
39.527,1.026
39.557,1.026
39.587,1.032
39.617,1.031
39.647,1.027
39.677,1.027
39.707,1.018
39.737,1.026
39.767,1.031
39.797,1.029
39.827,1.030
39.857,1.028
39.887,1.022
39.917,1.024
39.947,1.021
39.977,1.021
40.007,1.023
40.037,1.024
40.067,1.027
40.097,1.026
40.127,1.027
40.157,1.024
40.187,1.026
40.217,1.025
40.247,1.026
40.277,1.026
40.307,1.025
40.337,1.026
40.367,1.029
40.397,1.026
40.427,1.027
40.457,1.022
40.487,1.030
40.517,1.030
40.547,1.030
40.577,1.024
40.607,1.029
40.637,1.025
40.667,1.025
40.697,1.029
40.727,1.020
40.757,1.029
40.787,1.030
40.817,1.028
40.847,1.030
40.877,1.023
40.907,1.025
40.937,1.026
40.967,1.027
40.997,1.028
41.027,1.028
41.057,1.026
41.087,1.027
41.117,1.032
41.147,1.024
41.177,1.024
41.207,1.024
41.237,1.027
41.267,1.032
41.297,1.027
41.327,1.026
41.357,1.020
41.387,1.020
41.417,1.026
41.447,1.027
41.477,1.030
41.507,1.030
41.537,1.032
41.567,1.034
41.597,1.030
41.627,1.028
41.657,1.024
41.687,1.025
41.717,1.030
41.747,1.026
41.777,1.027
41.807,1.027
41.837,1.030
41.867,1.032
41.897,1.027
41.927,1.027
41.957,1.026
41.987,1.030
42.017,1.030
42.047,1.026
42.077,1.026
42.107,1.023
42.137,1.024
42.167,1.030
42.197,1.026
42.227,1.021
42.257,1.031
42.287,1.037
42.317,1.038
42.347,1.034
42.377,1.029
42.407,1.017
42.437,1.012
42.467,1.025
42.497,1.021
42.527,1.025
42.557,1.030
42.587,1.031
42.617,1.032
42.647,1.032
42.677,1.026
42.707,1.026
42.737,1.029
42.767,1.027
42.797,1.021
42.827,1.024
42.857,1.023
42.887,1.025
