df_hash,22ZHK4.Z1ZPL9
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.UH07
person_label,V67
date_time_start,2025-10-31_17-31-54.657000_+03
date_time_start_unix,1761917514.657
date_time_end,2025-10-31_17-40-10.548000_+03
length_difference_noticed,no

time,acc_mag
30.561,1.024
30.591,1.019
30.621,1.019
30.651,1.023
30.681,1.024
30.711,1.022
30.741,1.019
30.771,1.021
30.801,1.029
30.831,1.024
30.861,1.017
30.891,1.026
30.921,1.023
30.951,1.020
30.981,1.022
31.011,1.021
31.041,1.022
31.071,1.024
31.101,1.021
31.131,1.017
31.161,1.025
31.191,1.021
31.221,1.019
31.251,1.022
31.281,1.024
31.311,1.021
31.341,1.021
31.371,1.026
31.401,1.025
31.431,1.022
31.461,1.020
31.491,1.022
31.521,1.024
31.551,1.021
31.581,1.021
31.611,1.021
31.641,1.024
31.671,1.022
31.701,1.026
31.731,1.029
31.761,1.023
31.791,1.031
31.821,1.025
31.851,1.023
31.881,1.019
31.911,1.017
31.941,1.021
31.971,1.021
32.001,1.026
32.031,1.021
32.061,1.024
32.091,1.022
32.121,1.021
32.151,1.024
32.181,1.015
32.211,1.014
32.241,1.025
32.271,1.019
32.301,1.033
32.331,1.016
32.361,1.013
32.391,1.013
32.421,1.006
32.451,1.033
32.481,1.017
32.511,1.023
32.541,1.027
32.571,1.020
32.601,1.005
32.631,1.018
32.661,1.021
32.691,1.013
32.721,1.021
32.751,1.027
32.781,1.018
32.811,1.020
32.841,1.014
32.871,1.016
32.901,1.021
32.931,1.043
32.961,1.024
32.991,1.020
33.021,1.019
33.051,1.021
33.081,1.014
33.111,1.012
33.141,1.024
33.171,1.027
33.201,1.029
33.231,1.027
33.261,1.017
33.291,1.025
33.321,1.025
33.351,1.021
33.381,1.014
33.411,1.021
33.441,1.028
33.471,1.008
33.501,1.021
33.531,1.017
33.561,1.020
33.591,1.021
33.621,1.029
33.651,1.023
33.681,1.015
33.711,1.020
33.741,1.024
33.771,1.022
33.801,1.020
33.831,1.017
33.861,1.025
33.891,1.022
33.921,1.021
33.951,1.014
33.981,1.020
34.011,1.022
34.041,1.026
34.071,1.024
34.101,1.028
34.131,1.031
34.161,1.035
34.191,1.012
34.221,1.027
34.251,1.020
34.281,1.017
34.311,1.022
34.341,1.026
34.371,1.024
34.401,1.031
34.431,1.020
34.461,1.026
34.491,1.021
34.521,1.018
34.551,1.025
34.581,1.024
34.611,1.021
34.641,1.025
34.671,1.018
34.701,1.023
34.731,1.024
34.761,1.015
34.791,1.019
34.821,1.033
34.851,1.023
34.881,1.022
