df_hash,22ZHK4.UNGTKH
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.7KWE
person_label,V152
date_time_start,2026-06-08_18-35-23.944000_+03
date_time_start_unix,1780925723.944
date_time_end,2026-06-08_18-48-41.887000_+03
length_difference_noticed,no

time,acc_mag
53.333,1.043
53.363,1.045
53.393,1.046
53.423,1.058
53.453,1.043
53.483,1.039
53.513,1.052
53.543,1.048
53.573,1.051
53.603,1.054
53.633,1.048
53.663,1.042
53.693,1.048
53.723,1.048
53.753,1.047
53.783,1.050
53.813,1.047
53.843,1.045
53.873,1.037
53.903,1.062
53.933,1.062
53.963,1.041
53.993,1.043
54.023,1.045
54.053,1.049
54.083,1.052
54.113,1.048
54.143,1.039
54.173,1.052
54.203,1.050
54.233,1.048
54.263,1.049
54.293,1.050
54.323,1.050
54.353,1.051
54.383,1.050
54.413,1.044
54.443,1.050
54.473,1.048
54.503,1.047
54.533,1.042
54.563,1.048
54.593,1.062
54.623,1.046
54.653,1.046
54.683,1.054
54.713,1.046
54.743,1.042
54.773,1.050
54.803,1.049
54.833,1.052
54.863,1.052
54.893,1.050
54.923,1.046
54.953,1.051
54.983,1.053
55.013,1.072
55.043,1.045
55.073,1.006
55.103,1.031
55.133,1.028
55.163,1.016
55.193,1.019
55.223,1.042
55.253,1.034
55.283,1.062
55.313,1.067
55.343,1.066
55.373,1.056
55.403,1.069
55.433,1.056
55.463,1.040
55.493,1.041
55.523,1.055
55.553,1.065
55.583,1.053
55.613,1.043
55.643,1.052
55.673,1.053
55.703,1.042
55.733,1.034
55.763,1.035
55.793,1.043
55.823,1.040
55.853,1.041
55.883,1.030
55.913,1.041
55.943,1.052
55.973,1.049
56.003,1.049
56.033,1.045
56.063,1.039
56.093,1.041
56.123,1.038
56.153,1.034
56.183,1.042
56.213,1.048
56.243,1.045
56.273,1.045
56.303,1.043
56.333,1.043
56.363,1.041
56.393,1.040
56.423,1.040
56.453,1.046
56.483,1.046
56.513,1.041
56.543,1.042
56.573,1.038
56.603,1.042
56.633,1.058
56.663,1.050
56.693,1.040
56.723,1.040
56.753,1.038
56.783,1.043
56.813,1.046
56.843,1.036
56.873,1.035
56.903,1.041
56.933,1.048
56.963,1.049
56.993,1.045
57.023,1.039
57.053,1.043
57.083,1.040
57.113,1.043
57.143,1.042
57.173,1.043
57.203,1.042
57.233,1.043
57.263,1.036
57.293,1.040
57.323,1.053
57.353,1.049
57.383,1.037
57.413,1.037
57.443,1.035
57.473,1.043
57.503,1.044
57.533,1.040
57.563,1.038
57.593,1.058
57.623,1.053
57.653,1.053
57.683,1.026
57.713,1.028
57.743,1.044
57.773,1.054
